date,gdpd,urate,ffr
1960-01-01,1.838177,4.733333,1.336667
1960-04-01,1.808829,4.4,1.493333
1960-07-01,2.87839,4.1,1.92
1960-10-01,4.035709,4.233333,2.356667
1961-01-01,3.957609,4.033333,2.48
1961-04-01,2.329076,4.2,2.693333
1961-07-01,5.023854,4.133333,2.81
1961-10-01,1.493908,4.133333,2.926667
1962-01-01,5.685084,3.933333,2.963333
1962-04-01,2.661878,4.1,3.0
1962-07-01,2.342541,4.233333,3.243333
1962-10-01,0.053132,4.933333,3.233333
1963-01-01,4.460982,6.3,1.863333
1963-04-01,1.448905,7.366667,0.94
1963-07-01,2.718834,7.333333,1.323333
1963-10-01,2.287107,6.366667,2.163333
1964-01-01,0.124276,5.833333,2.56
1964-04-01,0.106465,5.1,3.083333
1964-07-01,0.956367,5.266667,3.566667
1964-10-01,1.804745,5.6,3.99
1965-01-01,1.764575,5.133333,3.933333
1965-04-01,1.26611,5.233333,3.696667
1965-07-01,1.442093,5.533333,2.936667
1965-10-01,1.25758,6.266667,2.296667
1966-01-01,0.895857,6.8,2.003333
1966-04-01,0.893855,7.0,1.736667
1966-07-01,1.069996,6.766667,1.68
1966-10-01,1.244722,6.2,2.403333
1967-01-01,2.477884,5.633333,2.403333
1967-04-01,0.705157,5.533333,2.553333
1967-07-01,0.879701,5.566667,2.846667
1967-10-01,1.228341,5.533333,2.923333
1968-01-01,1.399214,5.766667,2.963333
1968-04-01,0.523446,5.733333,2.963333
1968-07-01,0.696864,5.5,3.33
1968-10-01,3.120952,5.566667,3.453333
1969-01-01,1.034929,5.466667,3.463333
1969-04-01,1.032259,5.2,3.49
1969-07-01,1.54341,5.0,3.456667
1969-10-01,2.04866,4.966667,3.576667
1970-01-01,2.038221,4.9,3.973333
1970-04-01,1.69062,4.666667,4.076667
1970-07-01,1.683504,4.366667,4.073333
1970-10-01,2.678955,4.1,4.166667
1971-01-01,2.661132,3.866667,4.556667
1971-04-01,3.137271,3.833333,4.913333
1971-07-01,4.253619,3.766667,5.41
1971-10-01,3.402897,3.7,5.566667
1972-01-01,1.610308,3.833333,4.823333
1972-04-01,2.563084,3.833333,3.99
1972-07-01,4.130299,3.8,3.893333
1972-10-01,4.40083,3.9,4.17
1973-01-01,4.507528,3.733333,4.79
1973-04-01,3.998495,3.566667,5.983333
1973-07-01,3.807377,3.533333,5.943333
1973-10-01,5.569234,3.4,5.916667
1974-01-01,4.01565,3.4,6.576667
1974-04-01,5.292249,3.433333,8.326667
1974-07-01,5.799304,3.566667,8.983333
1974-10-01,5.148444,3.566667,8.94
1975-01-01,5.643833,4.166667,8.573333
1975-04-01,5.427114,4.766667,7.88
1975-07-01,3.303529,5.166667,6.703333
1975-10-01,5.175421,5.833333,5.566667
1976-01-01,5.910114,5.933333,3.856667
1976-04-01,5.298091,5.9,4.563333
1976-07-01,4.05829,6.033333,5.476667
